Name,Ref:Opportunity__c:Opportunity,Requirement_Type__c,Type__c,Status__c,Due_Date__c,Submission_Date__c,Milestone_Amount__c,Comments__c
Letter of Intent (LOI) - FY2023 Grant - 00173,CE-OPP-00173,Required,Letter of Intent (LOI),Submitted,2024-09-15,2024-09-10,5000.00,Standard reporting milestone. No special conditions.
Tax Exemption Document - FY2023 Grant - 00174,CE-OPP-00174,Required,Tax Exemption Document,Approved,2025-11-15,2025-11-10,50000.00,Standard reporting milestone. No special conditions.
Final Evaluation - FY2023 Grant - 00175,CE-OPP-00175,Optional,Final Evaluation,Overdue,2024-01-15,,12500.00,Standard reporting milestone. No special conditions.
Financial Report - FY2023 Grant - 00176,CE-OPP-00176,Required,Financial Report,Not Started,2025-03-15,,10000.00,Standard reporting milestone. No special conditions.
Progress Report - FY2023 Grant - 00177,CE-OPP-00177,Required,Progress Report,In Progress,2024-05-15,,25000.00,Standard reporting milestone. No special conditions.
Letter of Intent (LOI) - FY2023 Grant - 00178,CE-OPP-00178,Optional,Letter of Intent (LOI),Submitted,2025-07-15,2025-07-10,5000.00,Standard reporting milestone. No special conditions.
Tax Exemption Document - FY2024 Grant - 00179,CE-OPP-00179,Required,Tax Exemption Document,Approved,2024-09-15,2024-09-10,50000.00,Standard reporting milestone. No special conditions.
Final Evaluation - FY2022 Grant - 00180,CE-OPP-00180,Required,Final Evaluation,Overdue,2025-11-15,,12500.00,Standard reporting milestone. No special conditions.
Financial Report - FY2024 Grant - 00181,CE-OPP-00181,Optional,Financial Report,Not Started,2024-01-15,,10000.00,Standard reporting milestone. No special conditions.
Progress Report - FY2022 Grant - 00182,CE-OPP-00182,Required,Progress Report,In Progress,2025-03-15,,25000.00,Standard reporting milestone. No special conditions.
Letter of Intent (LOI) - FY2024 Grant - 00183,CE-OPP-00183,Required,Letter of Intent (LOI),Submitted,2024-05-15,2024-05-10,5000.00,Standard reporting milestone. No special conditions.
Tax Exemption Document - FY2022 Grant - 00184,CE-OPP-00184,Optional,Tax Exemption Document,Approved,2025-07-15,2025-07-10,50000.00,Standard reporting milestone. No special conditions.
Final Evaluation - FY2022 Grant - 00185,CE-OPP-00185,Required,Final Evaluation,Overdue,2024-09-15,,12500.00,Standard reporting milestone. No special conditions.
Financial Report - FY2022 Grant - 00186,CE-OPP-00186,Required,Financial Report,Not Started,2025-11-15,,10000.00,Standard reporting milestone. No special conditions.
Progress Report - FY2024 Grant - 00187,CE-OPP-00187,Optional,Progress Report,In Progress,2024-01-15,,25000.00,Standard reporting milestone. No special conditions.
Letter of Intent (LOI) - FY2023 Grant - 00188,CE-OPP-00188,Required,Letter of Intent (LOI),Submitted,2025-03-15,2025-03-10,5000.00,Standard reporting milestone. No special conditions.
Tax Exemption Document - FY2025 Grant - 00189,CE-OPP-00189,Required,Tax Exemption Document,Approved,2024-05-15,2024-05-10,50000.00,Standard reporting milestone. No special conditions.
Final Evaluation - FY2022 Grant - 00190,CE-OPP-00190,Optional,Final Evaluation,Overdue,2025-07-15,,12500.00,Standard reporting milestone. No special conditions.
Financial Report - FY2022 Grant - 00191,CE-OPP-00191,Required,Financial Report,Not Started,2024-09-15,,10000.00,Standard reporting milestone. No special conditions.
Progress Report - FY2024 Grant - 00192,CE-OPP-00192,Required,Progress Report,In Progress,2025-11-15,,25000.00,Standard reporting milestone. No special conditions.
Letter of Intent (LOI) - FY2023 Grant - 00193,CE-OPP-00193,Optional,Letter of Intent (LOI),Submitted,2024-01-15,2024-01-10,5000.00,Standard reporting milestone. No special conditions.
Tax Exemption Document - FY2023 Grant - 00194,CE-OPP-00194,Required,Tax Exemption Document,Approved,2025-03-15,2025-03-10,50000.00,Standard reporting milestone. No special conditions.
Final Evaluation - FY2023 Grant - 00195,CE-OPP-00195,Required,Final Evaluation,Overdue,2024-05-15,,12500.00,Standard reporting milestone. No special conditions.
Financial Report - FY2024 Grant - 00196,CE-OPP-00196,Optional,Financial Report,Not Started,2025-07-15,,10000.00,Standard reporting milestone. No special conditions.
Progress Report - FY2022 Grant - 00197,CE-OPP-00197,Required,Progress Report,In Progress,2024-09-15,,25000.00,Standard reporting milestone. No special conditions.
Letter of Intent (LOI) - FY2023 Grant - 00198,CE-OPP-00198,Required,Letter of Intent (LOI),Submitted,2025-11-15,2025-11-10,5000.00,Standard reporting milestone. No special conditions.
Tax Exemption Document - FY2022 Grant - 00199,CE-OPP-00199,Optional,Tax Exemption Document,Approved,2024-01-15,2024-01-10,50000.00,Standard reporting milestone. No special conditions.
Final Evaluation - FY2022 Grant - 00200,CE-OPP-00200,Required,Final Evaluation,Overdue,2025-03-15,,12500.00,Standard reporting milestone. No special conditions.
Financial Report - FY2022 Grant - 00201,CE-OPP-00201,Required,Financial Report,Not Started,2024-05-15,,10000.00,Standard reporting milestone. No special conditions.
Progress Report - FY2024 Grant - 00202,CE-OPP-00202,Optional,Progress Report,In Progress,2025-07-15,,25000.00,Standard reporting milestone. No special conditions.
Letter of Intent (LOI) - FY2024 Grant - 00203,CE-OPP-00203,Required,Letter of Intent (LOI),Submitted,2024-09-15,2024-09-10,5000.00,Standard reporting milestone. No special conditions.
Tax Exemption Document - FY2024 Grant - 00204,CE-OPP-00204,Required,Tax Exemption Document,Approved,2025-11-15,2025-11-10,50000.00,Standard reporting milestone. No special conditions.
Final Evaluation - FY2023 Grant - 00205,CE-OPP-00205,Optional,Final Evaluation,Overdue,2024-01-15,,12500.00,Standard reporting milestone. No special conditions.
Financial Report - FY2024 Grant - 00206,CE-OPP-00206,Required,Financial Report,Not Started,2025-03-15,,10000.00,Standard reporting milestone. No special conditions.
Progress Report - FY2024 Grant - 00207,CE-OPP-00207,Required,Progress Report,In Progress,2024-05-15,,25000.00,Standard reporting milestone. No special conditions.
Letter of Intent (LOI) - FY2023 Grant - 00208,CE-OPP-00208,Optional,Letter of Intent (LOI),Submitted,2025-07-15,2025-07-10,5000.00,Standard reporting milestone. No special conditions.
Tax Exemption Document - FY2025 Grant - 00209,CE-OPP-00209,Required,Tax Exemption Document,Approved,2024-09-15,2024-09-10,50000.00,Standard reporting milestone. No special conditions.
Final Evaluation - FY2024 Grant - 00210,CE-OPP-00210,Required,Final Evaluation,Overdue,2025-11-15,,12500.00,Standard reporting milestone. No special conditions.
Financial Report - FY2022 Grant - 00211,CE-OPP-00211,Optional,Financial Report,Not Started,2024-01-15,,10000.00,Standard reporting milestone. No special conditions.
Progress Report - FY2025 Grant - 00212,CE-OPP-00212,Required,Progress Report,In Progress,2025-03-15,,25000.00,Standard reporting milestone. No special conditions.
Letter of Intent (LOI) - FY2022 Grant - 00213,CE-OPP-00213,Required,Letter of Intent (LOI),Submitted,2024-05-15,2024-05-10,5000.00,Standard reporting milestone. No special conditions.
Tax Exemption Document - FY2022 Grant - 00214,CE-OPP-00214,Optional,Tax Exemption Document,Approved,2025-07-15,2025-07-10,50000.00,Standard reporting milestone. No special conditions.
Final Evaluation - FY2025 Grant - 00215,CE-OPP-00215,Required,Final Evaluation,Overdue,2024-09-15,,12500.00,Standard reporting milestone. No special conditions.
Financial Report - FY2022 Grant - 00216,CE-OPP-00216,Required,Financial Report,Not Started,2025-11-15,,10000.00,Standard reporting milestone. No special conditions.
Progress Report - FY2024 Grant - 00217,CE-OPP-00217,Optional,Progress Report,In Progress,2024-01-15,,25000.00,Standard reporting milestone. No special conditions.
Letter of Intent (LOI) - FY2025 Grant - 00218,CE-OPP-00218,Required,Letter of Intent (LOI),Submitted,2025-03-15,2025-03-10,5000.00,Standard reporting milestone. No special conditions.
Tax Exemption Document - FY2024 Grant - 00219,CE-OPP-00219,Required,Tax Exemption Document,Approved,2024-05-15,2024-05-10,50000.00,Standard reporting milestone. No special conditions.
Final Evaluation - FY2023 Grant - 00220,CE-OPP-00220,Optional,Final Evaluation,Overdue,2025-07-15,,12500.00,Standard reporting milestone. No special conditions.
Financial Report - FY2023 Grant - 00221,CE-OPP-00221,Required,Financial Report,Not Started,2024-09-15,,10000.00,Standard reporting milestone. No special conditions.
Progress Report - FY2023 Grant - 00222,CE-OPP-00222,Required,Progress Report,In Progress,2025-11-15,,25000.00,Standard reporting milestone. No special conditions.
Letter of Intent (LOI) - FY2024 Grant - 00223,CE-OPP-00223,Optional,Letter of Intent (LOI),Submitted,2024-01-15,2024-01-10,5000.00,Standard reporting milestone. No special conditions.
Tax Exemption Document - FY2023 Grant - 00224,CE-OPP-00224,Required,Tax Exemption Document,Approved,2025-03-15,2025-03-10,50000.00,Standard reporting milestone. No special conditions.
Final Evaluation - FY2024 Grant - 00225,CE-OPP-00225,Required,Final Evaluation,Overdue,2024-05-15,,12500.00,Standard reporting milestone. No special conditions.
Financial Report - FY2025 Grant - 00226,CE-OPP-00226,Optional,Financial Report,Not Started,2025-07-15,,10000.00,Standard reporting milestone. No special conditions.
Progress Report - FY2023 Grant - 00227,CE-OPP-00227,Required,Progress Report,In Progress,2024-09-15,,25000.00,Standard reporting milestone. No special conditions.
Letter of Intent (LOI) - FY2025 Grant - 00228,CE-OPP-00228,Required,Letter of Intent (LOI),Submitted,2025-11-15,2025-11-10,5000.00,Standard reporting milestone. No special conditions.
Tax Exemption Document - FY2025 Grant - 00229,CE-OPP-00229,Optional,Tax Exemption Document,Approved,2024-01-15,2024-01-10,50000.00,Standard reporting milestone. No special conditions.
Final Evaluation - FY2023 Grant - 00230,CE-OPP-00230,Required,Final Evaluation,Overdue,2025-03-15,,12500.00,Standard reporting milestone. No special conditions.
Financial Report - FY2022 Grant - 00231,CE-OPP-00231,Required,Financial Report,Not Started,2024-05-15,,10000.00,Standard reporting milestone. No special conditions.
Progress Report - FY2024 Grant - 00232,CE-OPP-00232,Optional,Progress Report,In Progress,2025-07-15,,25000.00,Standard reporting milestone. No special conditions.
Letter of Intent (LOI) - FY2024 Grant - 00233,CE-OPP-00233,Required,Letter of Intent (LOI),Submitted,2024-09-15,2024-09-10,5000.00,Standard reporting milestone. No special conditions.
Tax Exemption Document - FY2022 Grant - 00234,CE-OPP-00234,Required,Tax Exemption Document,Approved,2025-11-15,2025-11-10,50000.00,Standard reporting milestone. No special conditions.
Final Evaluation - FY2023 Grant - 00235,CE-OPP-00235,Optional,Final Evaluation,Overdue,2024-01-15,,12500.00,Standard reporting milestone. No special conditions.
Financial Report - FY2024 Grant - 00236,CE-OPP-00236,Required,Financial Report,Not Started,2025-03-15,,10000.00,Standard reporting milestone. No special conditions.
Progress Report - FY2024 Grant - 00237,CE-OPP-00237,Required,Progress Report,In Progress,2024-05-15,,25000.00,Standard reporting milestone. No special conditions.
Letter of Intent (LOI) - FY2023 Grant - 00238,CE-OPP-00238,Optional,Letter of Intent (LOI),Submitted,2025-07-15,2025-07-10,5000.00,Standard reporting milestone. No special conditions.
Tax Exemption Document - FY2022 Grant - 00239,CE-OPP-00239,Required,Tax Exemption Document,Approved,2024-09-15,2024-09-10,50000.00,Standard reporting milestone. No special conditions.
Final Evaluation - FY2022 Grant - 00240,CE-OPP-00240,Required,Final Evaluation,Overdue,2025-11-15,,12500.00,Standard reporting milestone. No special conditions.
Financial Report - FY2022 Grant - 00241,CE-OPP-00241,Optional,Financial Report,Not Started,2024-01-15,,10000.00,Standard reporting milestone. No special conditions.
Progress Report - FY2024 Grant - 00242,CE-OPP-00242,Required,Progress Report,In Progress,2025-03-15,,25000.00,Standard reporting milestone. No special conditions.
Letter of Intent (LOI) - FY2024 Grant - 00243,CE-OPP-00243,Required,Letter of Intent (LOI),Submitted,2024-05-15,2024-05-10,5000.00,Standard reporting milestone. No special conditions.
Tax Exemption Document - FY2025 Grant - 00244,CE-OPP-00244,Optional,Tax Exemption Document,Approved,2025-07-15,2025-07-10,50000.00,Standard reporting milestone. No special conditions.
Final Evaluation - FY2023 Grant - 00245,CE-OPP-00245,Required,Final Evaluation,Overdue,2024-09-15,,12500.00,Standard reporting milestone. No special conditions.
Financial Report - FY2024 Grant - 00246,CE-OPP-00246,Required,Financial Report,Not Started,2025-11-15,,10000.00,Standard reporting milestone. No special conditions.
Progress Report - FY2024 Grant - 00247,CE-OPP-00247,Optional,Progress Report,In Progress,2024-01-15,,25000.00,Standard reporting milestone. No special conditions.
Letter of Intent (LOI) - FY2024 Grant - 00248,CE-OPP-00248,Required,Letter of Intent (LOI),Submitted,2025-03-15,2025-03-10,5000.00,Standard reporting milestone. No special conditions.
Tax Exemption Document - FY2022 Grant - 00249,CE-OPP-00249,Required,Tax Exemption Document,Approved,2024-05-15,2024-05-10,50000.00,Standard reporting milestone. No special conditions.
Final Evaluation - FY2024 Grant - 00250,CE-OPP-00250,Optional,Final Evaluation,Overdue,2025-07-15,,12500.00,Standard reporting milestone. No special conditions.
Financial Report - FY2023 Grant - 00251,CE-OPP-00251,Required,Financial Report,Not Started,2024-09-15,,10000.00,Standard reporting milestone. No special conditions.
Progress Report - FY2025 Grant - 00252,CE-OPP-00252,Required,Progress Report,In Progress,2025-11-15,,25000.00,Standard reporting milestone. No special conditions.
Letter of Intent (LOI) - FY2024 Grant - 00253,CE-OPP-00253,Optional,Letter of Intent (LOI),Submitted,2024-01-15,2024-01-10,5000.00,Standard reporting milestone. No special conditions.
Tax Exemption Document - FY2024 Grant - 00254,CE-OPP-00254,Required,Tax Exemption Document,Approved,2025-03-15,2025-03-10,50000.00,Standard reporting milestone. No special conditions.
Final Evaluation - FY2024 Grant - 00255,CE-OPP-00255,Required,Final Evaluation,Overdue,2024-05-15,,12500.00,Standard reporting milestone. No special conditions.
Financial Report - FY2023 Grant - 00256,CE-OPP-00256,Optional,Financial Report,Not Started,2025-07-15,,10000.00,Standard reporting milestone. No special conditions.
Progress Report - FY2022 Grant - 00257,CE-OPP-00257,Required,Progress Report,In Progress,2024-09-15,,25000.00,Standard reporting milestone. No special conditions.
Letter of Intent (LOI) - FY2023 Grant - 00258,CE-OPP-00258,Required,Letter of Intent (LOI),Submitted,2025-11-15,2025-11-10,5000.00,Standard reporting milestone. No special conditions.
Tax Exemption Document - FY2023 Grant - 00259,CE-OPP-00259,Optional,Tax Exemption Document,Approved,2024-01-15,2024-01-10,50000.00,Standard reporting milestone. No special conditions.
Final Evaluation - FY2024 Grant - 00260,CE-OPP-00260,Required,Final Evaluation,Overdue,2025-03-15,,12500.00,Standard reporting milestone. No special conditions.
Financial Report - FY2025 Grant - 00261,CE-OPP-00261,Required,Financial Report,Not Started,2024-05-15,,10000.00,Standard reporting milestone. No special conditions.
Progress Report - FY2024 Grant - 00262,CE-OPP-00262,Optional,Progress Report,In Progress,2025-07-15,,25000.00,Standard reporting milestone. No special conditions.
Letter of Intent (LOI) - FY2023 Grant - 00263,CE-OPP-00263,Required,Letter of Intent (LOI),Submitted,2024-09-15,2024-09-10,5000.00,Standard reporting milestone. No special conditions.
Tax Exemption Document - FY2022 Grant - 00264,CE-OPP-00264,Required,Tax Exemption Document,Approved,2025-11-15,2025-11-10,50000.00,Standard reporting milestone. No special conditions.
Final Evaluation - FY2024 Grant - 00265,CE-OPP-00265,Optional,Final Evaluation,Overdue,2024-01-15,,12500.00,Standard reporting milestone. No special conditions.
Financial Report - FY2023 Grant - 00266,CE-OPP-00266,Required,Financial Report,Not Started,2025-03-15,,10000.00,Standard reporting milestone. No special conditions.
Progress Report - FY2025 Grant - 00267,CE-OPP-00267,Required,Progress Report,In Progress,2024-05-15,,25000.00,Standard reporting milestone. No special conditions.
Letter of Intent (LOI) - FY2025 Grant - 00268,CE-OPP-00268,Optional,Letter of Intent (LOI),Submitted,2025-07-15,2025-07-10,5000.00,Standard reporting milestone. No special conditions.
Tax Exemption Document - FY2024 Grant - 00269,CE-OPP-00269,Required,Tax Exemption Document,Approved,2024-09-15,2024-09-10,50000.00,Standard reporting milestone. No special conditions.
Final Evaluation - FY2024 Grant - 00270,CE-OPP-00270,Required,Final Evaluation,Overdue,2025-11-15,,12500.00,Standard reporting milestone. No special conditions.
Financial Report - FY2022 Grant - 00271,CE-OPP-00271,Optional,Financial Report,Not Started,2024-01-15,,10000.00,Standard reporting milestone. No special conditions.
Progress Report - FY2023 Grant - 00272,CE-OPP-00272,Required,Progress Report,In Progress,2025-03-15,,25000.00,Standard reporting milestone. No special conditions.
Letter of Intent (LOI) - FY2024 Grant - 00273,CE-OPP-00273,Required,Letter of Intent (LOI),Submitted,2024-05-15,2024-05-10,5000.00,Standard reporting milestone. No special conditions.
Tax Exemption Document - FY2023 Grant - 00274,CE-OPP-00274,Optional,Tax Exemption Document,Approved,2025-07-15,2025-07-10,50000.00,Standard reporting milestone. No special conditions.
Final Evaluation - FY2022 Grant - 00275,CE-OPP-00275,Required,Final Evaluation,Overdue,2024-09-15,,12500.00,Standard reporting milestone. No special conditions.
Financial Report - FY2023 Grant - 00276,CE-OPP-00276,Required,Financial Report,Not Started,2025-11-15,,10000.00,Standard reporting milestone. No special conditions.
Progress Report - FY2023 Grant - 00277,CE-OPP-00277,Optional,Progress Report,In Progress,2024-01-15,,25000.00,Standard reporting milestone. No special conditions.
Letter of Intent (LOI) - FY2023 Grant - 00278,CE-OPP-00278,Required,Letter of Intent (LOI),Submitted,2025-03-15,2025-03-10,5000.00,Standard reporting milestone. No special conditions.
Tax Exemption Document - FY2024 Grant - 00279,CE-OPP-00279,Required,Tax Exemption Document,Approved,2024-05-15,2024-05-10,50000.00,Standard reporting milestone. No special conditions.
Final Evaluation - FY2024 Grant - 00280,CE-OPP-00280,Optional,Final Evaluation,Overdue,2025-07-15,,12500.00,Standard reporting milestone. No special conditions.
Financial Report - FY2024 Grant - 00281,CE-OPP-00281,Required,Financial Report,Not Started,2024-09-15,,10000.00,Standard reporting milestone. No special conditions.
Progress Report - FY2022 Grant - 00282,CE-OPP-00282,Required,Progress Report,In Progress,2025-11-15,,25000.00,Standard reporting milestone. No special conditions.
Letter of Intent (LOI) - FY2024 Grant - 00283,CE-OPP-00283,Optional,Letter of Intent (LOI),Submitted,2024-01-15,2024-01-10,5000.00,Standard reporting milestone. No special conditions.
Tax Exemption Document - FY2023 Grant - 00284,CE-OPP-00284,Required,Tax Exemption Document,Approved,2025-03-15,2025-03-10,50000.00,Standard reporting milestone. No special conditions.
Final Evaluation - FY2024 Grant - 00285,CE-OPP-00285,Required,Final Evaluation,Overdue,2024-05-15,,12500.00,Standard reporting milestone. No special conditions.
Financial Report - FY2023 Grant - 00286,CE-OPP-00286,Optional,Financial Report,Not Started,2025-07-15,,10000.00,Standard reporting milestone. No special conditions.
Progress Report - FY2022 Grant - 00287,CE-OPP-00287,Required,Progress Report,In Progress,2024-09-15,,25000.00,Standard reporting milestone. No special conditions.
Letter of Intent (LOI) - FY2024 Grant - 00288,CE-OPP-00288,Required,Letter of Intent (LOI),Submitted,2025-11-15,2025-11-10,5000.00,Standard reporting milestone. No special conditions.
Tax Exemption Document - FY2024 Grant - 00289,CE-OPP-00289,Optional,Tax Exemption Document,Approved,2024-01-15,2024-01-10,50000.00,Standard reporting milestone. No special conditions.
Final Evaluation - FY2023 Grant - 00290,CE-OPP-00290,Required,Final Evaluation,Overdue,2025-03-15,,12500.00,Standard reporting milestone. No special conditions.
Financial Report - FY2022 Grant - 00291,CE-OPP-00291,Required,Financial Report,Not Started,2024-05-15,,10000.00,Standard reporting milestone. No special conditions.
Progress Report - FY2025 Grant - 00292,CE-OPP-00292,Optional,Progress Report,In Progress,2025-07-15,,25000.00,Standard reporting milestone. No special conditions.
Letter of Intent (LOI) - FY2024 Grant - 00293,CE-OPP-00293,Required,Letter of Intent (LOI),Submitted,2024-09-15,2024-09-10,5000.00,Standard reporting milestone. No special conditions.
Tax Exemption Document - FY2024 Grant - 00294,CE-OPP-00294,Required,Tax Exemption Document,Approved,2025-11-15,2025-11-10,50000.00,Standard reporting milestone. No special conditions.
Final Evaluation - FY2023 Grant - 00295,CE-OPP-00295,Optional,Final Evaluation,Overdue,2024-01-15,,12500.00,Standard reporting milestone. No special conditions.
Financial Report - FY2025 Grant - 00296,CE-OPP-00296,Required,Financial Report,Not Started,2025-03-15,,10000.00,Standard reporting milestone. No special conditions.
Progress Report - FY2023 Grant - 00297,CE-OPP-00297,Required,Progress Report,In Progress,2024-05-15,,25000.00,Standard reporting milestone. No special conditions.
Letter of Intent (LOI) - FY2024 Grant - 00298,CE-OPP-00298,Optional,Letter of Intent (LOI),Submitted,2025-07-15,2025-07-10,5000.00,Standard reporting milestone. No special conditions.
Tax Exemption Document - FY2025 Grant - 00299,CE-OPP-00299,Required,Tax Exemption Document,Approved,2024-09-15,2024-09-10,50000.00,Standard reporting milestone. No special conditions.
Final Evaluation - FY2023 Grant - 00300,CE-OPP-00300,Required,Final Evaluation,Overdue,2025-11-15,,12500.00,Standard reporting milestone. No special conditions.
Financial Report - FY2023 Grant - 00301,CE-OPP-00301,Optional,Financial Report,Not Started,2024-01-15,,10000.00,Standard reporting milestone. No special conditions.
Progress Report - FY2025 Grant - 00302,CE-OPP-00302,Required,Progress Report,In Progress,2025-03-15,,25000.00,Standard reporting milestone. No special conditions.
Letter of Intent (LOI) - FY2025 Grant - 00303,CE-OPP-00303,Required,Letter of Intent (LOI),Submitted,2024-05-15,2024-05-10,5000.00,Standard reporting milestone. No special conditions.
Tax Exemption Document - FY2023 Grant - 00304,CE-OPP-00304,Optional,Tax Exemption Document,Approved,2025-07-15,2025-07-10,50000.00,Standard reporting milestone. No special conditions.
Final Evaluation - FY2024 Grant - 00305,CE-OPP-00305,Required,Final Evaluation,Overdue,2024-09-15,,12500.00,Standard reporting milestone. No special conditions.
Financial Report - FY2023 Grant - 00306,CE-OPP-00306,Required,Financial Report,Not Started,2025-11-15,,10000.00,Standard reporting milestone. No special conditions.
Progress Report - FY2024 Grant - 00307,CE-OPP-00307,Optional,Progress Report,In Progress,2024-01-15,,25000.00,Standard reporting milestone. No special conditions.
Letter of Intent (LOI) - FY2022 Grant - 00308,CE-OPP-00308,Required,Letter of Intent (LOI),Submitted,2025-03-15,2025-03-10,5000.00,Standard reporting milestone. No special conditions.
Tax Exemption Document - FY2024 Grant - 00309,CE-OPP-00309,Required,Tax Exemption Document,Approved,2024-05-15,2024-05-10,50000.00,Standard reporting milestone. No special conditions.
Final Evaluation - FY2022 Grant - 00310,CE-OPP-00310,Optional,Final Evaluation,Overdue,2025-07-15,,12500.00,Standard reporting milestone. No special conditions.
Financial Report - FY2023 Grant - 00311,CE-OPP-00311,Required,Financial Report,Not Started,2024-09-15,,10000.00,Standard reporting milestone. No special conditions.
Progress Report - FY2023 Grant - 00312,CE-OPP-00312,Required,Progress Report,In Progress,2025-11-15,,25000.00,Standard reporting milestone. No special conditions.
Letter of Intent (LOI) - FY2023 Grant - 00313,CE-OPP-00313,Optional,Letter of Intent (LOI),Submitted,2024-01-15,2024-01-10,5000.00,Standard reporting milestone. No special conditions.
Tax Exemption Document - FY2025 Grant - 00314,CE-OPP-00314,Required,Tax Exemption Document,Approved,2025-03-15,2025-03-10,50000.00,Standard reporting milestone. No special conditions.
Final Evaluation - FY2024 Grant - 00315,CE-OPP-00315,Required,Final Evaluation,Overdue,2024-05-15,,12500.00,Standard reporting milestone. No special conditions.
Financial Report - FY2023 Grant - 00316,CE-OPP-00316,Optional,Financial Report,Not Started,2025-07-15,,10000.00,Standard reporting milestone. No special conditions.
Progress Report - FY2024 Grant - 00317,CE-OPP-00317,Required,Progress Report,In Progress,2024-09-15,,25000.00,Standard reporting milestone. No special conditions.
Letter of Intent (LOI) - FY2024 Grant - 00318,CE-OPP-00318,Required,Letter of Intent (LOI),Submitted,2025-11-15,2025-11-10,5000.00,Standard reporting milestone. No special conditions.
Tax Exemption Document - FY2022 Grant - 00319,CE-OPP-00319,Optional,Tax Exemption Document,Approved,2024-01-15,2024-01-10,50000.00,Standard reporting milestone. No special conditions.
Final Evaluation - FY2024 Grant - 00320,CE-OPP-00320,Required,Final Evaluation,Overdue,2025-03-15,,12500.00,Standard reporting milestone. No special conditions.
Financial Report - FY2024 Grant - 00321,CE-OPP-00321,Required,Financial Report,Not Started,2024-05-15,,10000.00,Standard reporting milestone. No special conditions.
Progress Report - FY2023 Grant - 00322,CE-OPP-00322,Optional,Progress Report,In Progress,2025-07-15,,25000.00,Standard reporting milestone. No special conditions.
Letter of Intent (LOI) - FY2024 Grant - 00323,CE-OPP-00323,Required,Letter of Intent (LOI),Submitted,2024-09-15,2024-09-10,5000.00,Standard reporting milestone. No special conditions.
Tax Exemption Document - FY2022 Grant - 00324,CE-OPP-00324,Required,Tax Exemption Document,Approved,2025-11-15,2025-11-10,50000.00,Standard reporting milestone. No special conditions.
Final Evaluation - FY2025 Grant - 00325,CE-OPP-00325,Optional,Final Evaluation,Overdue,2024-01-15,,12500.00,Standard reporting milestone. No special conditions.
Financial Report - FY2024 Grant - 00326,CE-OPP-00326,Required,Financial Report,Not Started,2025-03-15,,10000.00,Standard reporting milestone. No special conditions.
Progress Report - FY2023 Grant - 00327,CE-OPP-00327,Required,Progress Report,In Progress,2024-05-15,,25000.00,Standard reporting milestone. No special conditions.
Letter of Intent (LOI) - FY2023 Grant - 00328,CE-OPP-00328,Optional,Letter of Intent (LOI),Submitted,2025-07-15,2025-07-10,5000.00,Standard reporting milestone. No special conditions.
Tax Exemption Document - FY2023 Grant - 00329,CE-OPP-00329,Required,Tax Exemption Document,Approved,2024-09-15,2024-09-10,50000.00,Standard reporting milestone. No special conditions.
Final Evaluation - FY2024 Grant - 00330,CE-OPP-00330,Required,Final Evaluation,Overdue,2025-11-15,,12500.00,Standard reporting milestone. No special conditions.
Financial Report - FY2023 Grant - 00331,CE-OPP-00331,Optional,Financial Report,Not Started,2024-01-15,,10000.00,Standard reporting milestone. No special conditions.
Progress Report - FY2025 Grant - 00332,CE-OPP-00332,Required,Progress Report,In Progress,2025-03-15,,25000.00,Standard reporting milestone. No special conditions.
Letter of Intent (LOI) - FY2023 Grant - 00333,CE-OPP-00333,Required,Letter of Intent (LOI),Submitted,2024-05-15,2024-05-10,5000.00,Standard reporting milestone. No special conditions.
Tax Exemption Document - FY2024 Grant - 00334,CE-OPP-00334,Optional,Tax Exemption Document,Approved,2025-07-15,2025-07-10,50000.00,Standard reporting milestone. No special conditions.
Final Evaluation - FY2024 Grant - 00335,CE-OPP-00335,Required,Final Evaluation,Overdue,2024-09-15,,12500.00,Standard reporting milestone. No special conditions.
Financial Report - FY2022 Grant - 00336,CE-OPP-00336,Required,Financial Report,Not Started,2025-11-15,,10000.00,Standard reporting milestone. No special conditions.
Progress Report - FY2022 Grant - 00337,CE-OPP-00337,Optional,Progress Report,In Progress,2024-01-15,,25000.00,Standard reporting milestone. No special conditions.
Letter of Intent (LOI) - FY2024 Grant - 00338,CE-OPP-00338,Required,Letter of Intent (LOI),Submitted,2025-03-15,2025-03-10,5000.00,Standard reporting milestone. No special conditions.
Tax Exemption Document - FY2024 Grant - 00339,CE-OPP-00339,Required,Tax Exemption Document,Approved,2024-05-15,2024-05-10,50000.00,Standard reporting milestone. No special conditions.
Final Evaluation - FY2023 Grant - 00340,CE-OPP-00340,Optional,Final Evaluation,Overdue,2025-07-15,,12500.00,Standard reporting milestone. No special conditions.
Financial Report - FY2025 Grant - 00341,CE-OPP-00341,Required,Financial Report,Not Started,2024-09-15,,10000.00,Standard reporting milestone. No special conditions.
Progress Report - FY2024 Grant - 00342,CE-OPP-00342,Required,Progress Report,In Progress,2025-11-15,,25000.00,Standard reporting milestone. No special conditions.
Letter of Intent (LOI) - FY2024 Grant - 00343,CE-OPP-00343,Optional,Letter of Intent (LOI),Submitted,2024-01-15,2024-01-10,5000.00,Standard reporting milestone. No special conditions.
Tax Exemption Document - FY2023 Grant - 00344,CE-OPP-00344,Required,Tax Exemption Document,Approved,2025-03-15,2025-03-10,50000.00,Standard reporting milestone. No special conditions.
